Entidad,Valor
Avg. Rating,7.918
No. of Ratings,47066.0
Std. Deviation,1.13
Weight,1.85
Comments,5924.0
Fans,4548.0
Page Views,2613812.0
Overall Rank,52.0
Abstract Rank,1.0
Family Rank,9.0
All Time Plays,297113.0
Players this Month,958.0
Players who own the game,78589.0
Players who owned the game before but not now,2735.0
Players who have the game for trade,314.0
Players who want the game in trade,1002.0
Players who have the game in their wishlist,13877.0
Players who have parts of the game,21.0
Players who want parts of the game,9.0
